id;kyc_ref;status;channel;started_at;last_activity_at;last_updated_at;completed_at;expires_at;validation_errors;internal_notes
1;"FGR02619624-702";REJECTED;USSD;2025-12-13T16:29:33;2025-12-14T05:51:18;2025-12-13T14:42:47;2025-12-14T04:06:42;2025-12-13T17:08:57;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;"FGR11329482-699";TIMEOUT;ANDROID;2025-12-13T21:21:16;2025-12-14T02:24:11;2025-12-14T00:07:17;2025-12-14T02:42:40;2025-12-14T03:28:59;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;"FGR35250887-178";STARTED;IOS;2025-12-13T12:37:48;2025-12-13T14:13:38;2025-12-13T17:02:43;2025-12-14T04:25:41;2025-12-13T16:13:49;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;"FGR11540921-534";REJECTED;USSD;2025-12-14T07:54:23;2025-12-14T09:00:32;2025-12-14T05:37:17;2025-12-13T23:34:07;2025-12-13T14:04:55;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;"FGR15563274-647";APPROVED;IOS;2025-12-13T21:09:58;2025-12-14T05:14:46;2025-12-14T08:48:59;2025-12-13T23:28:07;2025-12-13T15:05:08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;"FGR11127168-012";APPROVED;WEB;2025-12-13T23:34:27;2025-12-14T05:48:42;2025-12-13T18:28:52;2025-12-13T23:03:21;2025-12-13T15:54:54;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;"FGR16230349-382";FAILED;ANDROID;2025-12-13T18:11:14;2025-12-13T13:12:47;2025-12-13T12:52:23;2025-12-14T08:06:09;2025-12-13T18:07:48;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;"FGR80101088-384";STARTED;WHATSAPP;2025-12-14T02:22:27;2025-12-13T13:11:12;2025-12-13T16:17:17;2025-12-14T01:25:17;2025-12-13T21:29:34;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;"FGR79729549-713";IN_PROGRESS;ANDROID;2025-12-13T13:24:39;2025-12-14T03:14:20;2025-12-13T16:40:57;2025-12-14T07:55:28;2025-12-13T11:54:10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;"FGR38093601-787";AWAITING_DOCUMENTS;USSD;2025-12-14T01:30:22;2025-12-14T03:02:03;2025-12-13T13:07:29;2025-12-13T20:46:28;2025-12-13T18:26:04;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
