id;consent_text;consented;consented_at;channel;ip_address;user_agent;consent_version
1;next of;false;2025-12-13T16:52:20;IOS;gratefully;hepatitis bob cheap;accountabi
2;aboard yet sans;false;2025-12-13T22:46:15;USSD;barring;overconfidently cellar absent;even
3;after slowly amid;true;2025-12-13T14:52:43;WHATSAPP;fast amount before;valentine if;besides ab
4;unwelcome;true;2025-12-13T19:42:55;USSD;dearly;shabby apt;than seagu
5;indeed;false;2025-12-13T17:29:55;IOS;mash mammoth;behind cheerfully remand;incidental
6;vanish eek valiantly;false;2025-12-13T11:13:13;WEB;huzzah;boss;mantua reo
7;for;true;2025-12-13T19:48:14;ANDROID;opposite woot whirlwind;afore;windy
8;aware distinct qua;true;2025-12-13T16:57:18;WEB;planula almighty;pish;sympatheti
9;courageously ingratiate;true;2025-12-14T00:54:29;USSD;revoke drain;deceivingly import;in whoa pf
10;rubbery masculinize duh;false;2025-12-14T01:50:58;USSD;youthfully;obstruct;chairperso
