id;notification_type;message;sent_at;delivered;delivered_at;error_message
1;DOCUMENT_RECEIVED;designation whereas feline;2025-12-13T16:30:22;true;2025-12-14T03:42:49;section oh factorise
2;VALIDATION_ERROR;perfectly wilt aside;2025-12-14T09:28:21;false;2025-12-13T17:04:43;and
3;HELP_REQUEST;till joyfully winding;2025-12-14T05:25:42;false;2025-12-13T15:00:28;roughly barring blah
4;TIMEOUT_WARNING;hmph weep;2025-12-13T14:09:14;true;2025-12-14T07:47:02;wedge a
5;WELCOME;what;2025-12-14T03:40:29;false;2025-12-14T06:07:57;make tusk
6;WELCOME;aha;2025-12-13T11:34:20;true;2025-12-13T17:10:09;muddy
7;TIMEOUT_WARNING;whoever shush whoa;2025-12-13T22:17:38;true;2025-12-14T05:52:07;mostly
8;DOCUMENT_RECEIVED;lady;2025-12-14T04:19:54;true;2025-12-13T16:40:25;idolized statue easily
9;SUBMISSION_FAILED;statement pish;2025-12-14T09:13:46;true;2025-12-14T08:52:42;since if
10;WELCOME;likable about battle;2025-12-14T00:58:31;false;2025-12-14T05:08:12;athwart
